DateTime,AvgTemp
01-01-2020,28.7
02-01-2020,28.9
03-01-2020,28.6
04-01-2020,28.3
05-01-2020,28.6
06-01-2020,28.5
07-01-2020,28.8
08-01-2020,28.7
09-01-2020,28.1
10-01-2020,28.5
11-01-2020,28.3
12-01-2020,29.1
13-01-2020,29.7
14-01-2020,29.4
15-01-2020,29.1
16-01-2020,29.5
17-01-2020,29.7
18-01-2020,30.4
19-01-2020,29.7
20-01-2020,29.1
21-01-2020,29.2
22-01-2020,30.5
23-01-2020,29
24-01-2020,29.5
25-01-2020,29.3
26-01-2020,29.4
27-01-2020,29.7
28-01-2020,30.7
29-01-2020,30.2
30-01-2020,28.8
31-01-2020,28.8
01-02-2020,29
02-02-2020,28.4
03-02-2020,28.9
04-02-2020,28.9
05-02-2020,29.4
06-02-2020,29.5
07-02-2020,28.5
08-02-2020,28
09-02-2020,29.4
10-02-2020,29.3
11-02-2020,28.2
12-02-2020,28.7
13-02-2020,29.7
14-02-2020,29.6
15-02-2020,29
16-02-2020,29.4
17-02-2020,28.1
18-02-2020,27.1
19-02-2020,28.3
20-02-2020,27.4
21-02-2020,28.9
22-02-2020,28.5
23-02-2020,29.1
24-02-2020,29.5
25-02-2020,28.9
26-02-2020,29
27-02-2020,29.3
28-02-2020,28.6
29-02-2020,29.4
01-03-2020,27.9
02-03-2020,29.5
03-03-2020,29.6
04-03-2020,27.5
05-03-2020,28.2
06-03-2020,28.3
07-03-2020,28.1
08-03-2020,28.2
09-03-2020,28.8
10-03-2020,29.5
11-03-2020,30
12-03-2020,30.4
13-03-2020,29.5
14-03-2020,29.1
15-03-2020,29.6
16-03-2020,29.5
17-03-2020,29.7
18-03-2020,27.2
19-03-2020,28.2
20-03-2020,28.5
21-03-2020,29.3
22-03-2020,28.8
23-03-2020,28.6
24-03-2020,28.5
25-03-2020,29.4
26-03-2020,29.4
27-03-2020,30.3
28-03-2020,30.1
29-03-2020,28.6
30-03-2020,29.3
31-03-2020,30
01-04-2020,29
02-04-2020,29.8
03-04-2020,28.8
04-04-2020,30.3
05-04-2020,28.9
06-04-2020,27.8
07-04-2020,28.4
08-04-2020,28.3
09-04-2020,29
10-04-2020,29.2
11-04-2020,29.3
12-04-2020,29
13-04-2020,29.2
14-04-2020,28.6
15-04-2020,29.9
16-04-2020,29.8
17-04-2020,27.9
18-04-2020,28
19-04-2020,28.5
20-04-2020,30
21-04-2020,30
22-04-2020,30.3
23-04-2020,30.5
24-04-2020,30.1
25-04-2020,30.1
26-04-2020,29.5
27-04-2020,30.1
28-04-2020,29
29-04-2020,29.3
30-04-2020,29.1
01-05-2020,29.8
02-05-2020,30.1
03-05-2020,29.2
04-05-2020,29.5
05-05-2020,30.1
06-05-2020,30.3
07-05-2020,30
08-05-2020,30.3
09-05-2020,29.1
10-05-2020,29.3
11-05-2020,28.9
12-05-2020,29.5
13-05-2020,30
14-05-2020,29.6
15-05-2020,29.5
16-05-2020,29.5
17-05-2020,30.4
18-05-2020,29.1
19-05-2020,28.8
20-05-2020,28.9
21-05-2020,27.6
22-05-2020,29.7
23-05-2020,30.2
24-05-2020,29.7
25-05-2020,30.2
26-05-2020,29.3
27-05-2020,28.5
28-05-2020,26.8
29-05-2020,28.1
30-05-2020,29.3
31-05-2020,29
01-06-2020,28
02-06-2020,28.6
03-06-2020,29.7
04-06-2020,28.7
05-06-2020,30.5
06-06-2020,28.6
07-06-2020,28.3
08-06-2020,28.5
09-06-2020,28.4
10-06-2020,28.7
11-06-2020,28.6
12-06-2020,28.5
13-06-2020,28.6
14-06-2020,28.5
15-06-2020,29.5
16-06-2020,29.3
17-06-2020,28.6
18-06-2020,29.2
19-06-2020,29.3
20-06-2020,28
21-06-2020,28.6
22-06-2020,29
23-06-2020,28.4
24-06-2020,28.7
25-06-2020,28.5
26-06-2020,27.7
27-06-2020,28.2
28-06-2020,27.9
29-06-2020,28.7
30-06-2020,28.5
01-07-2020,28.9
02-07-2020,29.1
03-07-2020,28.1
04-07-2020,28
05-07-2020,27.9
06-07-2020,26.8
07-07-2020,28
08-07-2020,28.3
09-07-2020,28
10-07-2020,28.5
11-07-2020,28.2
12-07-2020,28.5
13-07-2020,28.8
14-07-2020,28.4
15-07-2020,27.2
16-07-2020,28.8
17-07-2020,28.9
18-07-2020,28.6
19-07-2020,28.9
20-07-2020,29.3
21-07-2020,29
22-07-2020,29.1
23-07-2020,28.5
24-07-2020,27.7
25-07-2020,26.7
26-07-2020,26.6
27-07-2020,26.7
28-07-2020,27.7
29-07-2020,27.4
30-07-2020,26.1
31-07-2020,27.1
01-08-2020,27.3
02-08-2020,27.2
03-08-2020,27.2
04-08-2020,28.3
05-08-2020,27.9
06-08-2020,28.2
07-08-2020,27.7
08-08-2020,28
09-08-2020,29.1
10-08-2020,28.8
11-08-2020,28.7
12-08-2020,28.6
13-08-2020,28.7
14-08-2020,28.6
15-08-2020,29.2
16-08-2020,29.4
17-08-2020,28.3
18-08-2020,28.7
19-08-2020,28.8
20-08-2020,28.6
21-08-2020,29
22-08-2020,29.8
23-08-2020,28.9
24-08-2020,28.6
25-08-2020,28.3
26-08-2020,28.2
27-08-2020,27.4
28-08-2020,28.2
29-08-2020,29.2
30-08-2020,28.7
31-08-2020,28.4
01-09-2020,29.4
02-09-2020,29.6
03-09-2020,29.8
04-09-2020,30.6
05-09-2020,29.4
06-09-2020,29.3
07-09-2020,29.7
08-09-2020,30
09-09-2020,29.4
10-09-2020,29.1
11-09-2020,29.1
12-09-2020,29.6
13-09-2020,29.7
14-09-2020,29.2
15-09-2020,29.4
16-09-2020,29.6
17-09-2020,29.8
18-09-2020,30.6
19-09-2020,29.4
20-09-2020,29.3
21-09-2020,29.7
22-09-2020,30
23-09-2020,29.4
24-09-2020,29.1
25-09-2020,29.1
26-09-2020,29.6
27-09-2020,29.7
28-09-2020,29.2
29-09-2020,30
30-09-2020,29.3
01-10-2020,30.9
02-10-2020,30
03-10-2020,30.4
04-10-2020,30.3
05-10-2020,30.3
06-10-2020,30.3
07-10-2020,29.3
08-10-2020,30
09-10-2020,29.4
10-10-2020,28.4
11-10-2020,30
12-10-2020,30.6
13-10-2020,29.7
14-10-2020,30.6
15-10-2020,30.6
16-10-2020,30.8
17-10-2020,29.8
18-10-2020,28.9
19-10-2020,27.1
20-10-2020,28.4
21-10-2020,30
22-10-2020,30.2
23-10-2020,30.4
24-10-2020,30.2
25-10-2020,30.4
26-10-2020,29.5
27-10-2020,29
28-10-2020,29.8
29-10-2020,29.8
30-10-2020,27
31-10-2020,26.8
01-11-2020,28
02-11-2020,28.2
03-11-2020,28.3
04-11-2020,28.3
05-11-2020,30
06-11-2020,30.2
07-11-2020,30.6
08-11-2020,30.5
09-11-2020,30.2
10-11-2020,30.9
11-11-2020,30.1
12-11-2020,31.1
13-11-2020,31.7
14-11-2020,31
15-11-2020,28.8
16-11-2020,30.5
17-11-2020,31.6
18-11-2020,31.3
19-11-2020,31.2
20-11-2020,29.9
21-11-2020,31.1
22-11-2020,29.5
23-11-2020,28.9
24-11-2020,28.1
25-11-2020,29.7
26-11-2020,28.9
